"Time(CDT)","Access point","SSID","Client","Category","Event type","Details"
"Jul 12 12:13:11","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 1, rssi: 52, band: 2"""
"Jul 12 12:13:11","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 1, rssi: 50, band: 2"""
"Jul 12 12:13:11","opdc-ap-1a12","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:13:10","opdc-ap-1a12","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:13:10","opdc-ap-2a14","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:13:10","opdc-ap-2a6","Tyler-Guest","86:62:79:7d:09:79","802.11","802.11 association","""channel: 11, rssi: 35, band: 2"""
"Jul 12 12:13:07","opdc-ap-2a14","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 association","""channel: 112, rssi: 40, band: 5"""
"Jul 12 12:13:06","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 46, band: 5"""
"Jul 12 12:13:06","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:13:03","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:13:01","opdc-ap-1a10","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:13:01","opdc-ap-1a10","Tyler-Guest","Android","802.11","802.11 association","""channel: 60, rssi: 43, band: 5"""
"Jul 12 12:12:59","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 54, band: 5"""
"Jul 12 12:12:56","opdc-ap-2a7","Tyler-Guest","GX1RHW3","WPA","WPA authentication",""""""
"Jul 12 12:12:56","opdc-ap-2a7","Tyler-Guest","GX1RHW3","802.11","802.11 association","""channel: 161, rssi: 60, band: 5"""
"Jul 12 12:12:56","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:12:55","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 42, band: 5"""
"Jul 12 12:12:55","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:54","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:52","opdc-ap-1a12","Tyler-Corp2","76:e0:5f:c5:7c:40","802.11","802.11 association","""channel: 165, rssi: 47, band: 5"""
"Jul 12 12:12:50","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 49, band: 5"""
"Jul 12 12:12:50","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:48","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:12:47","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 52, band: 5"""
"Jul 12 12:12:42","opdc-ap-1a8","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:12:42","opdc-ap-1a8","Tyler-Guest","Android","802.11","802.11 association","""channel: 44, rssi: 44, band: 5"""
"Jul 12 12:12:40","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:12:27","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:12:26","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 108, rssi: 45, band: 5"""
"Jul 12 12:12:22","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:19","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 1, rssi: 49, band: 2"""
"Jul 12 12:12:15","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:12","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 108, rssi: 41, band: 5"""
"Jul 12 12:12:10","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:10","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 43, band: 5"""
"Jul 12 12:12:10","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:12:09","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:12:09","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:12:08","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 108, rssi: 42, band: 5"""
"Jul 12 12:12:08","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:12:06","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 41, band: 5"""
"Jul 12 12:12:05","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:05","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:02","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:12:01","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 108, rssi: 41, band: 5"""
"Jul 12 12:12:01","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 41, band: 5"""
"Jul 12 12:12:01","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:12:01","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 108, rssi: 42, band: 5"""
"Jul 12 12:12:01","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:11:58","opdc-ap-1a10","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:11:58","opdc-ap-1a10","Tyler-Guest","Android","WPA","WPA deauthentication","""radio: 1, vap: 0, client_mac: A6:C1:96:EC:8D:12, aid: 1254453406"""
"Jul 12 12:11:58","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:11:58","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 59, band: 5"""
"Jul 12 12:11:57","opdc-ap-2a13","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:11:55","opdc-ap-1a7","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 108, rssi: 41, band: 5"""
"Jul 12 12:11:54","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:11:54","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 108, rssi: 41, band: 5"""
"Jul 12 12:11:54","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:11:53","opdc-ap-2a13","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 association","""channel: 6, rssi: 42, band: 2"""
"Jul 12 12:11:48","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:11:48","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 1, rssi: 55, band: 2"""
"Jul 12 12:11:48","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:11:48","opdc-ap-2a13","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:11:44","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:11:44","opdc-ap-2a13","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 association","""channel: 6, rssi: 41, band: 2"""
"Jul 12 12:11:44","opdc-ap-1a12","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:11:44","opdc-ap-1a12","Tyler-Guest","Android","802.11","802.11 association","""channel: 1, rssi: 47, band: 2"""
"Jul 12 12:11:41","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 1, rssi: 56, band: 2"""
"Jul 12 12:11:41","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:11:41","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 46, band: 5"""
"Jul 12 12:11:40","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:11:36","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 46, band: 5"""
"Jul 12 12:11:28","opdc-ap-1a10","Tyler-Guest","Android","WPA","WPA authentication",""""""
"Jul 12 12:11:28","opdc-ap-1a10","Tyler-Guest","Android","802.11","802.11 association","""channel: 60, rssi: 33, band: 5"""
"Jul 12 12:11:27","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:11:20","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:11:18","opdc-ap-1a10","Tyler-Corp","5240030d-832c-4392-bb90-301bdcad198d","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:11:18","opdc-ap-1a10","Tyler-Corp","5240030d-832c-4392-bb90-301bdcad198d","802.1X","802.1X deauthentication","""radio: 1, vap: 1, client_mac: 9E:1E:2C:CA:08:1A"""
"Jul 12 12:11:18","opdc-ap-1a10","Tyler-Corp","5240030d-832c-4392-bb90-301bdcad198d","802.1X","802.1X client EAPOL LogOff and/or CoA disconnect-request","""radio: 1, vap: 1, client_mac: 9E:1E:2C:CA:08:1A"""
"Jul 12 12:11:17","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:11:16","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:11:12","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:11:11","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:11:08","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:11:07","opdc-ap-1a9","Tyler-Corp","Rooney","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:11:07","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:11:03","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:11:00","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:11:00","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 59, band: 5"""
"Jul 12 12:10:57","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 46, band: 5"""
"Jul 12 12:10:57","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:10:52","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:10:45","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 1, rssi: 54, band: 2"""
"Jul 12 12:10:44","opdc-ap-1a15","Tyler-Corp","Rooney","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:10:42","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:10:38","opdc-ap-1a10","Tyler-Corp","Rooney","802.1X","802.1X authentication","""radio: 1, vap: 1, client_mac: 42:66:A0:9C:F8:95"""
"Jul 12 12:10:38","opdc-ap-1a10","Tyler-Corp","Rooney","802.1X","Successful authentication (EAP success)","""radio: 1, vap: 1, client_mac: 42:66:A0:9C:F8:95"""
"Jul 12 12:10:38","opdc-ap-1a10","Tyler-Corp","Rooney","802.1X","RADIUS response","""radio: 1, vap: 1, group: dot1x-nic-staff-wifi.in"""
"Jul 12 12:10:38","opdc-ap-1a10","Tyler-Corp","Rooney","802.11","802.11 association","""channel: 60, rssi: 33, band: 5"""
"Jul 12 12:10:38","opdc-ap-1a10","Tyler-Corp","Rooney","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:10:38","opdc-ap-1a10","Tyler-Corp","Rooney","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:10:37","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:10:37","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 100, rssi: 38, band: 5"""
"Jul 12 12:10:37","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:10:35","opdc-ap-1a9","Tyler-Corp","Rooney","802.1X","802.1X authentication","""radio: 1, vap: 1, client_mac: 42:66:A0:9C:F8:95"""
"Jul 12 12:10:35","opdc-ap-1a9","Tyler-Corp","Rooney","802.1X","Successful authentication (EAP success)","""radio: 1, vap: 1, client_mac: 42:66:A0:9C:F8:95"""
"Jul 12 12:10:35","opdc-ap-1a9","Tyler-Corp","Rooney","802.1X","RADIUS response","""radio: 1, vap: 1, group: dot1x-nic-staff-wifi.in"""
"Jul 12 12:10:34","opdc-ap-1a9","Tyler-Corp","Rooney","802.11","802.11 association","""channel: 140, rssi: 30, band: 5"""
"Jul 12 12:10:34","opdc-ap-1a9","Tyler-Corp","Rooney","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:10:29","opdc-ap-2a6","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:10:28","opdc-ap-1a11","Tyler-Corp","Rooney","802.1X","802.1X authentication","""radio: 0, vap: 1, client_mac: 42:66:A0:9C:F8:95"""
"Jul 12 12:10:28","opdc-ap-1a11","Tyler-Corp","Rooney","802.1X","Successful authentication (EAP success)","""radio: 0, vap: 1, client_mac: 42:66:A0:9C:F8:95"""
"Jul 12 12:10:28","opdc-ap-1a11","Tyler-Corp","Rooney","802.1X","RADIUS response","""radio: 0, vap: 1, group: dot1x-nic-staff-wifi.in"""
"Jul 12 12:10:28","opdc-ap-1a11","Tyler-Corp","Rooney","802.11","802.11 association","""channel: 1, rssi: 28, band: 2"""
"Jul 12 12:10:28","opdc-ap-1a11","Tyler-Corp","Rooney","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:10:28","opdc-ap-1a11","Tyler-Corp","Rooney","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:10:25","opdc-ap-2a6","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 11, rssi: 39, band: 2"""
"Jul 12 12:10:25","opdc-ap-1a9","Tyler-Corp","Rooney","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:10:22","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 1, rssi: 52, band: 2"""
"Jul 12 12:10:22","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:10:19","opdc-ap-1a9","Tyler-Corp","Rooney","802.11","802.11 association","""channel: 140, rssi: 38, band: 5"""
"Jul 12 12:10:19","opdc-ap-1a9","Tyler-Corp","Rooney","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:10:12","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:10:03","opdc-ap-2a13","","","Air Marshal","Device Containment","""type: containing_device, ssid: DIRECT-Tyler-Corp2, bssid: B2:52:16:5F:2B:BE"""
"Jul 12 12:09:46","opdc-ap-2a2","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:09:42","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:09:42","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 1, rssi: 49, band: 2"""
"Jul 12 12:09:42","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 45, band: 5"""
"Jul 12 12:09:42","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:09:41","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:09:40","opdc-ap-2a2","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 1, rssi: 46, band: 2"""
"Jul 12 12:09:39","opdc-ap-2a1","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:09:36","opdc-ap-2a1","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 6, rssi: 44, band: 2"""
"Jul 12 12:09:35","opdc-ap-2a15","Tyler-Corp","admins-MacBook-Pro","DHCP","Multiple DHCP servers detected","""vap: 1, original_server_ip: 10.105.32.1, original_server_mac: 70:0F:6A:DD:1D:CA"""
"Jul 12 12:09:35","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 43, band: 5"""
"Jul 12 12:09:35","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:09:34","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:09:30","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:09:30","opdc-ap-2a1","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:09:28","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:09:27","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 43, band: 5"""
"Jul 12 12:09:26","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:09:26","opdc-ap-2a1","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 6, rssi: 48, band: 2"""
"Jul 12 12:09:24","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:09:23","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 43, band: 5"""
"Jul 12 12:09:20","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:09:17","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 45, band: 5"""
"Jul 12 12:09:16","opdc-ap-1a8","Tyler-Guest","iPhone-5","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:09:16","opdc-ap-1a8","Tyler-Guest","iPhone-5","WPA","WPA deauthentication","""radio: 1, vap: 0, client_mac: 5A:E3:80:7B:BE:04, aid: 1368817590"""
"Jul 12 12:09:07","opdc-ap-2a6","Tyler-Corp","GLee-MacBook-Pro-2","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:09:06","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 1, rssi: 55, band: 2"""
"Jul 12 12:09:06","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:09:06","opdc-ap-2a5","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","802.1X authentication","""radio: 1, vap: 1, client_mac: 88:66:5A:3C:76:01"""
"Jul 12 12:09:06","opdc-ap-2a5","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","Successful authentication (EAP success)","""radio: 1, vap: 1, client_mac: 88:66:5A:3C:76:01"""
"Jul 12 12:09:06","opdc-ap-2a5","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","RADIUS response","""radio: 1, vap: 1, group: dot1x-nic-staff-wifi.in"""
"Jul 12 12:09:05","opdc-ap-2a5","Tyler-Corp","GLee-MacBook-Pro-2","802.11","802.11 association","""channel: 100, rssi: 31, band: 5"""
"Jul 12 12:09:05","opdc-ap-2a5","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:09:02","opdc-ap-1a7","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:09:00","opdc-ap-1a8","Tyler-Corp","GLee-MacBook-Pro-2","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:08:54","opdc-ap-1a8","Tyler-Corp","GLee-MacBook-Pro-2","802.11","802.11 association","""channel: 44, rssi: 26, band: 5"""
"Jul 12 12:08:54","opdc-ap-1a8","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:08:51","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:08:47","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 52, band: 5"""
"Jul 12 12:08:45","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:08:43","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:08:43","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 1, rssi: 52, band: 2"""
"Jul 12 12:08:42","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 association","""channel: 100, rssi: 51, band: 5"""
"Jul 12 12:08:42","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:08:41","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 46, band: 5"""
"Jul 12 12:08:41","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:08:40","opdc-ap-1a15","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:08:39","opdc-ap-2a9","Tyler-Corp","GLee-MacBook-Pro-2","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:08:38","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:08:38","opdc-ap-1a12","Tyler-Guest","ae:3d:85:f3:ce:e5","802.11","802.11 association","""channel: 1, rssi: 52, band: 2"""
"Jul 12 12:08:38","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:08:37","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.11","802.11 association","""channel: 108, rssi: 41, band: 5"""
"Jul 12 12:08:37","opdc-ap-1a7","Tyler-Corp","Robs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:08:35","opdc-ap-1a9","Tyler-Corp","Rooney","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:08:34","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:08:34","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 41, band: 5"""
"Jul 12 12:08:33","opdc-ap-2a6","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","802.1X authentication","""radio: 1, vap: 1, client_mac: 88:66:5A:3C:76:01"""
"Jul 12 12:08:33","opdc-ap-2a6","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","Successful authentication (EAP success)","""radio: 1, vap: 1, client_mac: 88:66:5A:3C:76:01"""
"Jul 12 12:08:33","opdc-ap-2a6","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","RADIUS response","""radio: 1, vap: 1, group: dot1x-nic-staff-wifi.in"""
"Jul 12 12:08:33","opdc-ap-2a5","Tyler-Guest","d6:89:ff:a5:e6:f5","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:08:33","opdc-ap-2a6","Tyler-Corp","GLee-MacBook-Pro-2","802.11","802.11 association","""channel: 64, rssi: 37, band: 5"""
"Jul 12 12:08:33","opdc-ap-2a6","Tyler-Corp","GLee-MacBook-Pro-2","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:08:33","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
